Code;Name
14.09.07;Плакаты
14.10.00;Украшения и аксессуары
14.10.01;Украшения и бижутерия
14.10.02;Наручные часы
14.10.03;Фляги
14.10.04;Карманные часы
14.10.05;Аксессуары для часов
14.11.00;Подарочные наборы
14.12.00;Сувениры
14.12.01;Сувениры из фарфора
14.12.02;Награды и дипломы
14.12.03;Шкатулки
14.12.04;Сувенирные ножи и аксессуары
14.12.05;Сувенирные копии пистолетов, ружей, арбалетов, мечей
14.12.06;Бизнес-сувениры
14.12.07;Открытки
14.12.08;Копилки
14.12.09;Сувениры из камня
14.12.10;Флаги и гербы
14.12.11;Сувениры из керамики
14.12.12;Сувениры из металла
14.12.13;Самовары
14.12.14;Сувениры из дерева
14.12.15;Сувениры из стекла
14.12.16;Музыкальные сувениры
15.00.00;Интим товары
15.01.00;Симуляторы для мужчин
15.02.00;BDSM атрибутика
15.03.00;Вибраторы
15.04.00;Мебель
15.05.00;Видео, журналы, книги, постеры, игры
15.06.00;Сувениры
15.07.00;Вакуумные помпы
15.08.00;Косметика и парфюмерия
15.09.00;Одежда, белье, обувь
15.10.00;Фаллоимитаторы
15.11.00;Стимуляторы
16.00.00;Одежда, обувь и аксессуары
16.01.00;Детская одежда
16.01.01;Для девочек
16.01.02;Для малышей
16.01.03;Для мальчиков
16.01.04;Одежда для спорта
16.02.00;Аксессуары
16.02.01;Брелоки и ключницы
16.02.02;Визитницы
16.02.03;Кредитницы
16.02.04;Обложки для документов
16.02.05;Сумки
16.02.06;Кошельки
16.02.07;Зонты
